有價證券代號,名稱,上市日,產業別
1240,茂生農經,2018/08/08,農業科技業
1258,其祥-KY,2011/12/12,食品工業
1259,安心,2011/12/15,觀光事業
1264,德麥,2015/04/09,食品工業
1268,漢來美食,2017/09/27,觀光事業
1333,恩得利,2005/08/08,電子零組件業
1336,台翰,2007/11/02,電子零組件業
1565,精華,2004/03/30,生技醫療業
1569,濱川,2005/07/29,電腦及週邊設備業
1570,力肯,2005/06/30,電機機械
1580,新麥,2007/12/10,電機機械
1584,精剛,2007/11/28,其他業
1586,和勤,2012/01/09,電機機械
1591,駿吉-KY,2012/03/23,電機機械
1593,祺驊,2012/06/13,生技醫療業
1595,川寶,2011/10/04,電子零組件業
1597,直得,2012/12/28,電機機械
1599,宏佳騰,2012/12/25,電機機械
1742,台蠟,2004/05/14,化學工業
1752,南光,2009/08/10,生技醫療業
1777,生泰,2005/10/19,生技醫療業
1781,合世,2004/12/24,生技醫療業
1784,訊聯,2007/07/26,生技醫療業
1785,光洋科,2005/01/31,其他電子業
1787,福盈科,2005/04/22,化學工業
1788,杏昌,2009/07/20,生技醫療業
1795,美時,2010/01/29,生技醫療業
1796,金穎生技,2018/01/22,食品工業
1799,易威,2008/11/10,生技醫療業
1813,寶利徠,2009/08/04,生技醫療業
1815,富喬,2006/01/23,電子零組件業
2035,唐榮,2006/07/07,鋼鐵工業
2061,風青,2010/12/09,電器電纜
2063,世鎧,2010/09/07,鋼鐵工業
2064,晉椿,2014/12/26,鋼鐵工業
2065,世豐,2017/04/21,鋼鐵工業
2066,世德,2013/09/24,電機機械
2067,嘉鋼,2014/05/26,電機機械
2070,精湛,2018/12/17,電機機械
2221,大甲,2007/08/01,其他業
2230,泰茂,2013/04/18,電機機械
2235,謚源,2014/12/15,電機機械
2596,綠意,2009/06/01,建材營造業
2640,大車隊,2012/11/07,其他業
2641,正德,2014/10/09,航運業
2643,捷迅,2016/03/04,航運業
2718,晶悅,2011/03/29,觀光事業
2719,燦星旅,2012/02/24,觀光事業
2724,富驛-KY,2012/05/29,觀光事業
2726,雅茗-KY,2014/12/24,觀光事業
2729,瓦城,2012/09/17,觀光事業
2732,六角,2015/01/20,觀光事業
2734,易飛網,2013/12/26,觀光事業
2736,高野,2016/01/06,觀光事業
2740,天蔥,2015/12/24,觀光事業
2745,五福,2018/04/16,觀光事業
2752,豆府,2019/09/25,觀光事業
2916,滿心,2005/03/10,貿易百貨業
2924,東凌-KY,2011/12/02,貿易百貨業
2926,誠品生活,2013/01/30,文化創意業
2928,紅馬-KY,2016/01/27,觀光事業
2937,集雅社,2017/06/08,貿易百貨業
3064,泰偉,2004/06/09,文化創意業
3066,李洲,2004/12/02,光電業
3067,全域,2003/10/21,其他電子業
3071,協禧,2004/12/30,電腦及週邊設備業
3073,凱柏實業,2007/10/08,半導體業
3078,僑威,2005/01/31,電子零組件業
3081,聯亞,2015/07/22,通信網路業
3083,網龍,2003/12/02,文化創意業
3085,新零售,2004/03/01,電子商務
3086,華義,2004/03/29,文化創意業
3088,艾訊,2005/04/28,電腦及週邊設備業
3089,元炬,2003/10/14,電子零組件業
3092,鴻碩,2010/05/11,電子零組件業
3093,港建,2005/06/17,其他電子業
3095,及成,2005/05/26,通信網路業
3105,穩懋,2011/12/13,半導體業
3114,好德,2004/03/25,電子零組件業
3115,寶島極,2005/04/08,電子零組件業
3118,進階,2008/05/21,生技醫療業
3122,笙泉,2015/01/26,半導體業
3128,昇銳,2006/09/04,光電業
3131,弘塑,2011/01/17,其他電子業
3141,晶宏,2014/03/14,半導體業
3144,新揚科,2004/12/24,電子零組件業
3147,大綜,2018/05/29,資訊服務業
3152,璟德,2008/03/24,通信網路業
3162,精確,2005/10/03,電機機械
3163,波若威,2012/12/03,通信網路業
3169,亞信,2009/11/24,半導體業
3171,新洲,2004/09/17,貿易百貨業
3176,基亞,2011/11/23,生技醫療業
3178,公準,2018/11/19,電機機械
3188,鑫龍騰,2004/03/17,建材營造業
3191,和進,2005/04/12,電子零組件業
3202,樺晟,2005/07/26,電子零組件業
3205,佰研,2005/09/12,生技醫療業
3206,志豐,2007/02/08,電子零組件業
3207,耀勝,2004/11/04,電子零組件業
3211,順達,2004/11/08,電腦及週邊設備業
3213,茂訊,2004/10/01,電腦及週邊設備業
3217,優群,2004/04/30,電子零組件業
3218,大學光,2004/11/29,生技醫療業
3219,倚強股份,2004/03/19,半導體業
3221,台嘉碩,2006/02/22,通信網路業
3224,三顧,2004/06/03,電子通路業
3226,至寶電,2004/06/16,電機機械
3227,原相,2006/05/04,半導體業
3228,金麗科,2005/03/02,半導體業
